dataset_name,file_id,algorithm_name,build_time_ms,query_time_ms,accuracy_percent,avg_dist_ratio,space_bytes
data_K100,58,KDTree_Approx_BBF200,1.376833,6.189417,84.000000,1.022531,424000
data_K100,58,LSH_SumParity_l4_k5,0.831042,6.103292,57.000000,1.048625,431200
data_K100,59,BruteForce,0.155250,28.318042,100.0,1.0,404000
data_K100,59,KDTree_Exact,1.399292,29.121417,100.000000,1.000000,424000
data_K100,59,KDTree_Approx_BBF200,1.435542,5.922875,79.000000,1.028715,424000
data_K100,59,LSH_SumParity_l4_k5,0.783125,5.790958,55.000000,1.046751,431200
data_K100,60,BruteForce,0.157750,27.863125,100.0,1.0,404000
data_K100,60,KDTree_Exact,1.346875,29.255375,100.000000,1.000000,424000
data_K100,60,KDTree_Approx_BBF200,1.470625,6.122292,78.000000,1.026532,424000
data_K100,60,LSH_SumParity_l4_k5,0.823833,6.118083,48.000000,1.053484,430688
data_K100,61,BruteForce,0.148584,28.186209,100.0,1.0,404000
data_K100,61,KDTree_Exact,1.410458,29.707958,100.000000,1.000000,424000
data_K100,61,KDTree_Approx_BBF200,1.401167,5.912250,83.000000,1.025964,424000
data_K100,61,LSH_SumParity_l4_k5,0.820416,6.026333,52.000000,1.049356,430944
data_K100,62,BruteForce,0.150334,28.378833,100.0,1.0,404000
data_K100,62,KDTree_Exact,1.404291,29.571166,100.000000,1.000000,424000
data_K100,62,KDTree_Approx_BBF200,1.420500,6.069875,81.000000,1.024576,424000
data_K100,62,LSH_SumParity_l4_k5,0.976458,8.559709,50.000000,1.050195,430560
data_K100,63,BruteForce,0.498167,31.672792,100.0,1.0,404000
data_K100,63,KDTree_Exact,1.649208,30.804958,100.000000,1.000000,424000
data_K100,63,KDTree_Approx_BBF200,1.630292,6.122375,89.000000,1.020868,424000
data_K100,63,LSH_SumParity_l4_k5,0.900500,6.004333,53.000000,1.050931,430688
data_K100,64,BruteForce,0.153834,28.317750,100.0,1.0,404000
data_K100,64,KDTree_Exact,1.415666,29.905000,100.000000,1.000000,424000
data_K100,64,KDTree_Approx_BBF200,1.435167,6.184541,80.000000,1.026084,424000
data_K100,64,LSH_SumParity_l4_k5,0.825250,6.244541,51.000000,1.048251,431712
data_K100,65,BruteForce,0.431250,61.878542,100.0,1.0,404000
data_K100,65,KDTree_Exact,1.441792,29.939333,100.000000,1.000000,424000
data_K100,65,KDTree_Approx_BBF200,1.401167,6.083625,77.000000,1.027895,424000
data_K100,65,LSH_SumParity_l4_k5,0.799208,6.272834,45.000000,1.053244,431200
data_K100,66,BruteForce,0.158417,28.748209,100.0,1.0,404000
data_K100,66,KDTree_Exact,1.497666,29.510458,100.000000,1.000000,424000
data_K100,66,KDTree_Approx_BBF200,1.397708,6.141041,80.000000,1.026674,424000
data_K100,66,LSH_SumParity_l4_k5,0.870417,6.262750,60.000000,1.045676,430432
data_K100,67,BruteForce,0.155125,28.040667,100.0,1.0,404000
data_K100,67,KDTree_Exact,1.373125,29.567042,100.000000,1.000000,424000
data_K100,67,KDTree_Approx_BBF200,1.470000,6.108292,80.000000,1.027902,424000
data_K100,67,LSH_SumParity_l4_k5,0.791250,5.963125,39.000000,1.059120,431008
data_K100,68,BruteForce,0.172375,27.724292,100.0,1.0,404000
data_K100,68,KDTree_Exact,1.392042,29.045041,100.000000,1.000000,424000
data_K100,68,KDTree_Approx_BBF200,1.357708,6.009542,75.000000,1.029836,424000
data_K100,68,LSH_SumParity_l4_k5,0.790833,5.938459,52.000000,1.051776,430816
data_K100,69,BruteForce,0.164167,30.180333,100.0,1.0,404000
data_K100,69,KDTree_Exact,1.488875,28.768125,100.000000,1.000000,424000
data_K100,69,KDTree_Approx_BBF200,1.339292,6.045750,86.000000,1.022722,424000
data_K100,69,LSH_SumParity_l4_k5,0.799375,5.979542,63.000000,1.044074,430816
data_K100,70,BruteForce,0.148125,27.566625,100.0,1.0,404000
data_K100,70,KDTree_Exact,1.530625,28.913500,100.000000,1.000000,424000
data_K100,70,KDTree_Approx_BBF200,1.405250,5.922584,82.000000,1.025044,424000
data_K100,70,LSH_SumParity_l4_k5,0.813708,6.061541,55.000000,1.047100,430688
data_K100,71,BruteForce,0.167000,27.902333,100.0,1.0,404000
data_K100,71,KDTree_Exact,1.515875,29.014584,100.000000,1.000000,424000
data_K100,71,KDTree_Approx_BBF200,1.414000,5.940291,87.000000,1.023387,424000
data_K100,71,LSH_SumParity_l4_k5,0.795875,6.051250,46.000000,1.052470,430176
data_K100,72,BruteForce,0.156292,27.403416,100.0,1.0,404000
data_K100,72,KDTree_Exact,1.530584,29.045292,100.000000,1.000000,424000
data_K100,72,KDTree_Approx_BBF200,1.391625,5.977500,89.000000,1.019707,424000
data_K100,72,LSH_SumParity_l4_k5,0.768959,8.500250,71.000000,1.038139,429920
data_K100,73,BruteForce,0.147667,27.352209,100.0,1.0,404000
data_K100,73,KDTree_Exact,1.369208,28.429291,100.000000,1.000000,424000
data_K100,73,KDTree_Approx_BBF200,1.373333,5.856042,83.000000,1.026371,424000
data_K100,73,LSH_SumParity_l4_k5,0.764208,5.872542,47.000000,1.054370,431200
data_K100,74,BruteForce,0.153000,27.407333,100.0,1.0,404000
data_K100,74,KDTree_Exact,4.682167,55.134209,100.000000,1.000000,424000
data_K100,74,KDTree_Approx_BBF200,1.428167,6.223375,90.000000,1.020460,424000
data_K100,74,LSH_SumParity_l4_k5,0.835208,6.270208,55.000000,1.047429,431072
data_K100,75,BruteForce,0.154334,28.247500,100.0,1.0,404000
data_K100,75,KDTree_Exact,1.479917,29.623167,100.000000,1.000000,424000
data_K100,75,KDTree_Approx_BBF200,1.432625,6.207708,87.000000,1.023157,424000
data_K100,75,LSH_SumParity_l4_k5,0.830792,5.925709,52.000000,1.052732,430240
data_K100,76,BruteForce,0.151542,28.480000,100.0,1.0,404000
data_K100,76,KDTree_Exact,1.593709,29.487042,100.000000,1.000000,424000
data_K100,76,KDTree_Approx_BBF200,1.426125,6.046709,81.000000,1.026799,424000
data_K100,76,LSH_SumParity_l4_k5,0.818416,6.006833,54.000000,1.048788,430432
data_K100,77,BruteForce,0.161291,28.278542,100.0,1.0,404000
data_K100,77,KDTree_Exact,1.391584,29.894750,100.000000,1.000000,424000
data_K100,77,KDTree_Approx_BBF200,1.578833,5.823875,85.000000,1.023521,424000
data_K100,77,LSH_SumParity_l4_k5,0.828208,6.060833,53.000000,1.052359,430816
data_K100,78,BruteForce,0.156375,28.145459,100.0,1.0,404000
data_K100,78,KDTree_Exact,1.433250,29.143750,100.000000,1.000000,424000
data_K100,78,KDTree_Approx_BBF200,1.434666,6.027958,78.000000,1.025835,424000
data_K100,78,LSH_SumParity_l4_k5,0.825083,6.022375,49.000000,1.053600,430944
data_K100,79,BruteForce,0.157834,27.796042,100.0,1.0,404000
data_K100,79,KDTree_Exact,1.342083,28.733125,100.000000,1.000000,424000
data_K100,79,KDTree_Approx_BBF200,1.413208,5.843000,83.000000,1.024611,424000
data_K100,79,LSH_SumParity_l4_k5,0.819166,6.159417,57.000000,1.048638,430304
data_K100,80,BruteForce,0.146500,28.003792,100.0,1.0,404000
data_K100,80,KDTree_Exact,1.375416,29.552834,100.000000,1.000000,424000
data_K100,80,KDTree_Approx_BBF200,1.427458,5.956458,80.000000,1.025732,424000
data_K100,80,LSH_SumParity_l4_k5,0.784209,10.650334,73.000000,1.032371,429632
data_K100,81,BruteForce,0.176333,27.828416,100.0,1.0,404000
data_K100,81,KDTree_Exact,1.446625,29.206916,100.000000,1.000000,424000
data_K100,81,KDTree_Approx_BBF200,1.406708,5.932458,85.000000,1.022805,424000
data_K100,81,LSH_SumParity_l4_k5,0.806708,5.923041,60.000000,1.047306,430624
data_K100,82,BruteForce,0.156250,28.160375,100.0,1.0,404000
data_K100,82,KDTree_Exact,1.395333,28.892333,100.000000,1.000000,424000
data_K100,82,KDTree_Approx_BBF200,1.381375,5.988000,78.000000,1.024746,424000
data_K100,82,LSH_SumParity_l4_k5,0.819125,6.065208,45.000000,1.053498,430304
data_K100,83,BruteForce,0.158792,27.379667,100.0,1.0,404000
data_K100,83,KDTree_Exact,1.385041,29.288000,100.000000,1.000000,424000
data_K100,83,KDTree_Approx_BBF200,1.309042,5.942625,88.000000,1.017515,424000
data_K100,83,LSH_SumParity_l4_k5,0.829709,6.156542,56.000000,1.046194,430688
data_K100,84,BruteForce,0.154583,27.717542,100.0,1.0,404000
data_K100,84,KDTree_Exact,1.343916,29.370875,100.000000,1.000000,424000
data_K100,84,KDTree_Approx_BBF200,1.326791,5.991417,81.000000,1.022726,424000
data_K100,84,LSH_SumParity_l4_k5,0.829792,6.125333,57.000000,1.043348,431072
data_K100,85,BruteForce,0.165459,27.559709,100.0,1.0,404000
data_K100,85,KDTree_Exact,1.405208,28.997458,100.000000,1.000000,424000
